date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,801.0,North West,beans,2016,1,53
2016-01-01,791.0,South West,beans,2016,1,53
2016-01-01,812.0,West,beans,2016,1,53
2016-01-01,829.0,Adamawa,beans,2016,1,53
2016-01-01,803.0,Far North,beans,2016,1,53
2016-01-01,821.0,Centre,beans,2016,1,53
2016-01-01,721.0,East,beans,2016,1,53
2016-01-01,721.0,North,beans,2016,1,53
2016-01-01,841.0,South,beans,2016,1,53
2016-01-01,835.0,Littoral,beans,2016,1,53
2016-01-08,818.0,North West,beans,2016,1,1
2016-01-08,779.0,South West,beans,2016,1,1
2016-01-08,887.0,West,beans,2016,1,1
2016-01-08,770.0,Adamawa,beans,2016,1,1
2016-01-08,733.0,Far North,beans,2016,1,1
2016-01-08,838.0,Centre,beans,2016,1,1
2016-01-08,710.0,East,beans,2016,1,1
2016-01-08,782.0,North,beans,2016,1,1
2016-01-08,874.0,South,beans,2016,1,1
2016-01-08,764.0,Littoral,beans,2016,1,1
2016-01-15,1003.0,North West,beans,2016,1,2
2016-01-15,918.0,South West,beans,2016,1,2
2016-01-15,897.0,West,beans,2016,1,2
2016-01-15,948.0,Adamawa,beans,2016,1,2
2016-01-15,959.0,Far North,beans,2016,1,2
2016-01-15,982.0,Centre,beans,2016,1,2
2016-01-15,961.0,East,beans,2016,1,2
2016-01-15,980.0,North,beans,2016,1,2
2016-01-15,963.0,South,beans,2016,1,2
2016-01-15,915.0,Littoral,beans,2016,1,2
2016-01-22,864.0,North West,beans,2016,1,3
2016-01-22,1029.0,South West,beans,2016,1,3
2016-01-22,837.0,West,beans,2016,1,3
2016-01-22,1082.0,Adamawa,beans,2016,1,3
2016-01-22,1040.0,Far North,beans,2016,1,3
2016-01-22,1000.0,Centre,beans,2016,1,3
2016-01-22,1075.0,East,beans,2016,1,3
2016-01-22,985.0,North,beans,2016,1,3
2016-01-22,844.0,South,beans,2016,1,3
2016-01-22,972.0,Littoral,beans,2016,1,3
2016-01-29,913.0,North West,beans,2016,1,4
2016-01-29,990.0,South West,beans,2016,1,4
2016-01-29,923.0,West,beans,2016,1,4
2016-01-29,916.0,Adamawa,beans,2016,1,4
2016-01-29,874.0,Far North,beans,2016,1,4
2016-01-29,932.0,Centre,beans,2016,1,4
2016-01-29,861.0,East,beans,2016,1,4
2016-01-29,864.0,North,beans,2016,1,4
2016-01-29,986.0,South,beans,2016,1,4
2016-01-29,884.0,Littoral,beans,2016,1,4
2016-02-05,756.0,North West,beans,2016,2,5
2016-02-05,822.0,South West,beans,2016,2,5
2016-02-05,890.0,West,beans,2016,2,5
2016-02-05,930.0,Adamawa,beans,2016,2,5
2016-02-05,963.0,Far North,beans,2016,2,5
2016-02-05,914.0,Centre,beans,2016,2,5
2016-02-05,842.0,East,beans,2016,2,5
2016-02-05,812.0,North,beans,2016,2,5
2016-02-05,773.0,South,beans,2016,2,5
2016-02-05,887.0,Littoral,beans,2016,2,5
2016-02-12,844.0,North West,beans,2016,2,6
2016-02-12,865.0,South West,beans,2016,2,6
2016-02-12,857.0,West,beans,2016,2,6
2016-02-12,980.0,Adamawa,beans,2016,2,6
2016-02-12,828.0,Far North,beans,2016,2,6
2016-02-12,934.0,Centre,beans,2016,2,6
2016-02-12,799.0,East,beans,2016,2,6
2016-02-12,920.0,North,beans,2016,2,6
2016-02-12,802.0,South,beans,2016,2,6
2016-02-12,829.0,Littoral,beans,2016,2,6
2016-02-19,798.0,North West,beans,2016,2,7
2016-02-19,853.0,South West,beans,2016,2,7
2016-02-19,853.0,West,beans,2016,2,7
2016-02-19,967.0,Adamawa,beans,2016,2,7
2016-02-19,825.0,Far North,beans,2016,2,7
2016-02-19,792.0,Centre,beans,2016,2,7
2016-02-19,914.0,East,beans,2016,2,7
2016-02-19,934.0,North,beans,2016,2,7
2016-02-19,841.0,South,beans,2016,2,7
2016-02-19,914.0,Littoral,beans,2016,2,7
2016-02-26,862.0,North West,beans,2016,2,8
2016-02-26,775.0,South West,beans,2016,2,8
2016-02-26,747.0,West,beans,2016,2,8
2016-02-26,965.0,Adamawa,beans,2016,2,8
2016-02-26,810.0,Far North,beans,2016,2,8
2016-02-26,805.0,Centre,beans,2016,2,8
2016-02-26,964.0,East,beans,2016,2,8
2016-02-26,908.0,North,beans,2016,2,8
2016-02-26,875.0,South,beans,2016,2,8
2016-02-26,901.0,Littoral,beans,2016,2,8
2016-03-04,888.0,North West,beans,2016,3,9
2016-03-04,900.0,South West,beans,2016,3,9
2016-03-04,744.0,West,beans,2016,3,9
2016-03-04,821.0,Adamawa,beans,2016,3,9
2016-03-04,795.0,Far North,beans,2016,3,9
2016-03-04,745.0,Centre,beans,2016,3,9
2016-03-04,821.0,East,beans,2016,3,9
2016-03-04,867.0,North,beans,2016,3,9
2016-03-04,769.0,South,beans,2016,3,9
