date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,141.0,North West,cassava,2016,1,53
2016-01-01,135.0,South West,cassava,2016,1,53
2016-01-01,129.0,West,cassava,2016,1,53
2016-01-01,140.0,Adamawa,cassava,2016,1,53
2016-01-01,126.0,Far North,cassava,2016,1,53
2016-01-01,118.0,Centre,cassava,2016,1,53
2016-01-01,121.0,East,cassava,2016,1,53
2016-01-01,129.0,North,cassava,2016,1,53
2016-01-01,130.0,South,cassava,2016,1,53
2016-01-01,139.0,Littoral,cassava,2016,1,53
2016-01-08,146.0,North West,cassava,2016,1,1
2016-01-08,138.0,South West,cassava,2016,1,1
2016-01-08,146.0,West,cassava,2016,1,1
2016-01-08,124.0,Adamawa,cassava,2016,1,1
2016-01-08,119.0,Far North,cassava,2016,1,1
2016-01-08,149.0,Centre,cassava,2016,1,1
2016-01-08,120.0,East,cassava,2016,1,1
2016-01-08,126.0,North,cassava,2016,1,1
2016-01-08,143.0,South,cassava,2016,1,1
2016-01-08,132.0,Littoral,cassava,2016,1,1
2016-01-15,120.0,North West,cassava,2016,1,2
2016-01-15,131.0,South West,cassava,2016,1,2
2016-01-15,141.0,West,cassava,2016,1,2
2016-01-15,134.0,Adamawa,cassava,2016,1,2
2016-01-15,139.0,Far North,cassava,2016,1,2
2016-01-15,152.0,Centre,cassava,2016,1,2
2016-01-15,153.0,East,cassava,2016,1,2
2016-01-15,130.0,North,cassava,2016,1,2
2016-01-15,137.0,South,cassava,2016,1,2
2016-01-15,140.0,Littoral,cassava,2016,1,2
2016-01-22,161.0,North West,cassava,2016,1,3
2016-01-22,162.0,South West,cassava,2016,1,3
2016-01-22,133.0,West,cassava,2016,1,3
2016-01-22,152.0,Adamawa,cassava,2016,1,3
2016-01-22,139.0,Far North,cassava,2016,1,3
2016-01-22,125.0,Centre,cassava,2016,1,3
2016-01-22,125.0,East,cassava,2016,1,3
2016-01-22,142.0,North,cassava,2016,1,3
2016-01-22,143.0,South,cassava,2016,1,3
2016-01-22,125.0,Littoral,cassava,2016,1,3
2016-01-29,144.0,North West,cassava,2016,1,4
2016-01-29,134.0,South West,cassava,2016,1,4
2016-01-29,129.0,West,cassava,2016,1,4
2016-01-29,138.0,Adamawa,cassava,2016,1,4
2016-01-29,131.0,Far North,cassava,2016,1,4
2016-01-29,143.0,Centre,cassava,2016,1,4
2016-01-29,130.0,East,cassava,2016,1,4
2016-01-29,142.0,North,cassava,2016,1,4
2016-01-29,128.0,South,cassava,2016,1,4
2016-01-29,148.0,Littoral,cassava,2016,1,4
2016-02-05,153.0,North West,cassava,2016,2,5
2016-02-05,128.0,South West,cassava,2016,2,5
2016-02-05,142.0,West,cassava,2016,2,5
2016-02-05,127.0,Adamawa,cassava,2016,2,5
2016-02-05,147.0,Far North,cassava,2016,2,5
2016-02-05,134.0,Centre,cassava,2016,2,5
2016-02-05,144.0,East,cassava,2016,2,5
2016-02-05,144.0,North,cassava,2016,2,5
2016-02-05,159.0,South,cassava,2016,2,5
2016-02-05,145.0,Littoral,cassava,2016,2,5
2016-02-12,152.0,North West,cassava,2016,2,6
2016-02-12,146.0,South West,cassava,2016,2,6
2016-02-12,128.0,West,cassava,2016,2,6
2016-02-12,149.0,Adamawa,cassava,2016,2,6
2016-02-12,134.0,Far North,cassava,2016,2,6
2016-02-12,148.0,Centre,cassava,2016,2,6
2016-02-12,148.0,East,cassava,2016,2,6
2016-02-12,125.0,North,cassava,2016,2,6
2016-02-12,143.0,South,cassava,2016,2,6
2016-02-12,129.0,Littoral,cassava,2016,2,6
2016-02-19,133.0,North West,cassava,2016,2,7
2016-02-19,133.0,South West,cassava,2016,2,7
2016-02-19,149.0,West,cassava,2016,2,7
2016-02-19,131.0,Adamawa,cassava,2016,2,7
2016-02-19,122.0,Far North,cassava,2016,2,7
2016-02-19,149.0,Centre,cassava,2016,2,7
2016-02-19,129.0,East,cassava,2016,2,7
2016-02-19,126.0,North,cassava,2016,2,7
2016-02-19,131.0,South,cassava,2016,2,7
2016-02-19,136.0,Littoral,cassava,2016,2,7
2016-02-26,155.0,North West,cassava,2016,2,8
2016-02-26,146.0,South West,cassava,2016,2,8
2016-02-26,132.0,West,cassava,2016,2,8
2016-02-26,131.0,Adamawa,cassava,2016,2,8
2016-02-26,136.0,Far North,cassava,2016,2,8
2016-02-26,143.0,Centre,cassava,2016,2,8
2016-02-26,125.0,East,cassava,2016,2,8
