date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,1272.0,North West,cocoa,2016,1,53
2016-01-01,1272.0,South West,cocoa,2016,1,53
2016-01-01,1170.0,West,cocoa,2016,1,53
2016-01-01,1209.0,Adamawa,cocoa,2016,1,53
2016-01-01,1255.0,Far North,cocoa,2016,1,53
2016-01-01,1287.0,Centre,cocoa,2016,1,53
2016-01-01,1144.0,East,cocoa,2016,1,53
2016-01-01,1166.0,North,cocoa,2016,1,53
2016-01-01,1121.0,South,cocoa,2016,1,53
2016-01-01,1016.0,Littoral,cocoa,2016,1,53
2016-01-08,1046.0,North West,cocoa,2016,1,1
2016-01-08,1151.0,South West,cocoa,2016,1,1
2016-01-08,1155.0,West,cocoa,2016,1,1
2016-01-08,1179.0,Adamawa,cocoa,2016,1,1
2016-01-08,941.0,Far North,cocoa,2016,1,1
2016-01-08,1076.0,Centre,cocoa,2016,1,1
2016-01-08,956.0,East,cocoa,2016,1,1
2016-01-08,983.0,North,cocoa,2016,1,1
2016-01-08,1182.0,South,cocoa,2016,1,1
2016-01-08,1067.0,Littoral,cocoa,2016,1,1
2016-01-15,1053.0,North West,cocoa,2016,1,2
2016-01-15,1113.0,South West,cocoa,2016,1,2
2016-01-15,1032.0,West,cocoa,2016,1,2
2016-01-15,1214.0,Adamawa,cocoa,2016,1,2
2016-01-15,1313.0,Far North,cocoa,2016,1,2
2016-01-15,1268.0,Centre,cocoa,2016,1,2
2016-01-15,1314.0,East,cocoa,2016,1,2
2016-01-15,1274.0,North,cocoa,2016,1,2
2016-01-15,1277.0,South,cocoa,2016,1,2
2016-01-15,1191.0,Littoral,cocoa,2016,1,2
2016-01-22,1093.0,North West,cocoa,2016,1,3
2016-01-22,1060.0,South West,cocoa,2016,1,3
2016-01-22,1179.0,West,cocoa,2016,1,3
2016-01-22,995.0,Adamawa,cocoa,2016,1,3
2016-01-22,959.0,Far North,cocoa,2016,1,3
2016-01-22,1217.0,Centre,cocoa,2016,1,3
2016-01-22,944.0,East,cocoa,2016,1,3
2016-01-22,1225.0,North,cocoa,2016,1,3
2016-01-22,1153.0,South,cocoa,2016,1,3
2016-01-22,1038.0,Littoral,cocoa,2016,1,3
2016-01-29,1056.0,North West,cocoa,2016,1,4
2016-01-29,1214.0,South West,cocoa,2016,1,4
2016-01-29,1224.0,West,cocoa,2016,1,4
2016-01-29,1057.0,Adamawa,cocoa,2016,1,4
2016-01-29,994.0,Far North,cocoa,2016,1,4
2016-01-29,1043.0,Centre,cocoa,2016,1,4
2016-01-29,1042.0,East,cocoa,2016,1,4
2016-01-29,1001.0,North,cocoa,2016,1,4
2016-01-29,1201.0,South,cocoa,2016,1,4
2016-01-29,1096.0,Littoral,cocoa,2016,1,4
2016-02-05,1286.0,North West,cocoa,2016,2,5
2016-02-05,1090.0,South West,cocoa,2016,2,5
2016-02-05,1152.0,West,cocoa,2016,2,5
2016-02-05,1210.0,Adamawa,cocoa,2016,2,5
2016-02-05,1284.0,Far North,cocoa,2016,2,5
2016-02-05,1174.0,Centre,cocoa,2016,2,5
2016-02-05,1127.0,East,cocoa,2016,2,5
2016-02-05,1281.0,North,cocoa,2016,2,5
2016-02-05,1108.0,South,cocoa,2016,2,5
2016-02-05,1036.0,Littoral,cocoa,2016,2,5
2016-02-12,1120.0,North West,cocoa,2016,2,6
2016-02-12,1309.0,South West,cocoa,2016,2,6
2016-02-12,1311.0,West,cocoa,2016,2,6
2016-02-12,1425.0,Adamawa,cocoa,2016,2,6
2016-02-12,1207.0,Far North,cocoa,2016,2,6
2016-02-12,1204.0,Centre,cocoa,2016,2,6
2016-02-12,1259.0,East,cocoa,2016,2,6
2016-02-12,1231.0,North,cocoa,2016,2,6
2016-02-12,1360.0,South,cocoa,2016,2,6
2016-02-12,1328.0,Littoral,cocoa,2016,2,6
2016-02-19,1326.0,North West,cocoa,2016,2,7
2016-02-19,1346.0,South West,cocoa,2016,2,7
2016-02-19,1380.0,West,cocoa,2016,2,7
2016-02-19,1217.0,Adamawa,cocoa,2016,2,7
2016-02-19,1400.0,Far North,cocoa,2016,2,7
2016-02-19,1146.0,Centre,cocoa,2016,2,7
2016-02-19,1311.0,East,cocoa,2016,2,7
2016-02-19,1251.0,North,cocoa,2016,2,7
2016-02-19,1345.0,South,cocoa,2016,2,7
2016-02-19,1232.0,Littoral,cocoa,2016,2,7
2016-02-26,1116.0,North West,cocoa,2016,2,8
2016-02-26,1163.0,South West,cocoa,2016,2,8
2016-02-26,1421.0,West,cocoa,2016,2,8
2016-02-26,1326.0,Adamawa,cocoa,2016,2,8
2016-02-26,1282.0,Far North,cocoa,2016,2,8
2016-02-26,1217.0,Centre,cocoa,2016,2,8
2016-02-26,1109.0,East,cocoa,2016,2,8
2016-02-26,1218.0,North,cocoa,2016,2,8
2016-02-26,1261.0,South,cocoa,2016,2,8
2016-02-26,1165.0,Littoral,cocoa,2016,2,8
2016-03-04,1187.0,North West,cocoa,2016,3,9
2016-03-04,1303.0,South West,cocoa,2016,3,9
2016-03-04,1329.0,West,cocoa,2016,3,9
2016-03-04,1210.0,Adamawa,cocoa,2016,3,9
2016-03-04,1330.0,Far North,cocoa,2016,3,9
2016-03-04,1438.0,Centre,cocoa,2016,3,9
2016-03-04,1290.0,East,cocoa,2016,3,9
2016-03-04,1423.0,North,cocoa,2016,3,9
