date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,211.0,North West,cocoyam,2016,1,53
2016-01-01,249.0,South West,cocoyam,2016,1,53
2016-01-01,227.0,West,cocoyam,2016,1,53
2016-01-01,247.0,Adamawa,cocoyam,2016,1,53
2016-01-01,222.0,Far North,cocoyam,2016,1,53
2016-01-01,257.0,Centre,cocoyam,2016,1,53
2016-01-01,244.0,East,cocoyam,2016,1,53
2016-01-01,256.0,North,cocoyam,2016,1,53
2016-01-01,228.0,South,cocoyam,2016,1,53
2016-01-01,226.0,Littoral,cocoyam,2016,1,53
2016-01-08,268.0,North West,cocoyam,2016,1,1
2016-01-08,276.0,South West,cocoyam,2016,1,1
2016-01-08,282.0,West,cocoyam,2016,1,1
2016-01-08,239.0,Adamawa,cocoyam,2016,1,1
2016-01-08,271.0,Far North,cocoyam,2016,1,1
2016-01-08,232.0,Centre,cocoyam,2016,1,1
2016-01-08,254.0,East,cocoyam,2016,1,1
2016-01-08,229.0,North,cocoyam,2016,1,1
2016-01-08,241.0,South,cocoyam,2016,1,1
2016-01-08,280.0,Littoral,cocoyam,2016,1,1
2016-01-15,264.0,North West,cocoyam,2016,1,2
2016-01-15,231.0,South West,cocoyam,2016,1,2
2016-01-15,246.0,West,cocoyam,2016,1,2
2016-01-15,262.0,Adamawa,cocoyam,2016,1,2
2016-01-15,236.0,Far North,cocoyam,2016,1,2
2016-01-15,278.0,Centre,cocoyam,2016,1,2
2016-01-15,290.0,East,cocoyam,2016,1,2
2016-01-15,238.0,North,cocoyam,2016,1,2
2016-01-15,236.0,South,cocoyam,2016,1,2
2016-01-15,254.0,Littoral,cocoyam,2016,1,2
2016-01-22,269.0,North West,cocoyam,2016,1,3
2016-01-22,238.0,South West,cocoyam,2016,1,3
2016-01-22,220.0,West,cocoyam,2016,1,3
2016-01-22,255.0,Adamawa,cocoyam,2016,1,3
2016-01-22,283.0,Far North,cocoyam,2016,1,3
2016-01-22,245.0,Centre,cocoyam,2016,1,3
2016-01-22,247.0,East,cocoyam,2016,1,3
2016-01-22,284.0,North,cocoyam,2016,1,3
2016-01-22,265.0,South,cocoyam,2016,1,3
2016-01-22,267.0,Littoral,cocoyam,2016,1,3
