date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,819.0,North West,coffee,2016,1,53
2016-01-01,807.0,South West,coffee,2016,1,53
2016-01-01,889.0,West,coffee,2016,1,53
2016-01-01,842.0,Adamawa,coffee,2016,1,53
2016-01-01,788.0,Far North,coffee,2016,1,53
2016-01-01,879.0,Centre,coffee,2016,1,53
2016-01-01,845.0,East,coffee,2016,1,53
2016-01-01,926.0,North,coffee,2016,1,53
2016-01-01,779.0,South,coffee,2016,1,53
2016-01-01,899.0,Littoral,coffee,2016,1,53
2016-01-08,782.0,North West,coffee,2016,1,1
2016-01-08,776.0,South West,coffee,2016,1,1
2016-01-08,739.0,West,coffee,2016,1,1
2016-01-08,696.0,Adamawa,coffee,2016,1,1
2016-01-08,869.0,Far North,coffee,2016,1,1
2016-01-08,759.0,Centre,coffee,2016,1,1
2016-01-08,834.0,East,coffee,2016,1,1
2016-01-08,891.0,North,coffee,2016,1,1
2016-01-08,810.0,South,coffee,2016,1,1
2016-01-08,774.0,Littoral,coffee,2016,1,1
2016-01-15,830.0,North West,coffee,2016,1,2
2016-01-15,826.0,South West,coffee,2016,1,2
2016-01-15,776.0,West,coffee,2016,1,2
2016-01-15,864.0,Adamawa,coffee,2016,1,2
2016-01-15,836.0,Far North,coffee,2016,1,2
2016-01-15,746.0,Centre,coffee,2016,1,2
2016-01-15,812.0,East,coffee,2016,1,2
2016-01-15,777.0,North,coffee,2016,1,2
2016-01-15,688.0,South,coffee,2016,1,2
2016-01-15,856.0,Littoral,coffee,2016,1,2
2016-01-22,699.0,North West,coffee,2016,1,3
2016-01-22,779.0,South West,coffee,2016,1,3
2016-01-22,743.0,West,coffee,2016,1,3
2016-01-22,744.0,Adamawa,coffee,2016,1,3
2016-01-22,772.0,Far North,coffee,2016,1,3
2016-01-22,880.0,Centre,coffee,2016,1,3
2016-01-22,758.0,East,coffee,2016,1,3
2016-01-22,711.0,North,coffee,2016,1,3
2016-01-22,800.0,South,coffee,2016,1,3
2016-01-22,722.0,Littoral,coffee,2016,1,3
2016-01-29,754.0,North West,coffee,2016,1,4
2016-01-29,705.0,South West,coffee,2016,1,4
2016-01-29,827.0,West,coffee,2016,1,4
2016-01-29,693.0,Adamawa,coffee,2016,1,4
2016-01-29,854.0,Far North,coffee,2016,1,4
2016-01-29,787.0,Centre,coffee,2016,1,4
2016-01-29,672.0,East,coffee,2016,1,4
2016-01-29,864.0,North,coffee,2016,1,4
2016-01-29,730.0,South,coffee,2016,1,4
2016-01-29,759.0,Littoral,coffee,2016,1,4
2016-02-05,766.0,North West,coffee,2016,2,5
2016-02-05,863.0,South West,coffee,2016,2,5
2016-02-05,810.0,West,coffee,2016,2,5
2016-02-05,734.0,Adamawa,coffee,2016,2,5
2016-02-05,728.0,Far North,coffee,2016,2,5
2016-02-05,862.0,Centre,coffee,2016,2,5
2016-02-05,756.0,East,coffee,2016,2,5
2016-02-05,735.0,North,coffee,2016,2,5
2016-02-05,813.0,South,coffee,2016,2,5
2016-02-05,879.0,Littoral,coffee,2016,2,5
2016-02-12,824.0,North West,coffee,2016,2,6
2016-02-12,686.0,South West,coffee,2016,2,6
2016-02-12,781.0,West,coffee,2016,2,6
2016-02-12,849.0,Adamawa,coffee,2016,2,6
2016-02-12,826.0,Far North,coffee,2016,2,6
2016-02-12,669.0,Centre,coffee,2016,2,6
2016-02-12,721.0,East,coffee,2016,2,6
2016-02-12,685.0,North,coffee,2016,2,6
2016-02-12,848.0,South,coffee,2016,2,6
2016-02-12,855.0,Littoral,coffee,2016,2,6
2016-02-19,668.0,North West,coffee,2016,2,7
2016-02-19,751.0,South West,coffee,2016,2,7
2016-02-19,784.0,West,coffee,2016,2,7
2016-02-19,668.0,Adamawa,coffee,2016,2,7
2016-02-19,659.0,Far North,coffee,2016,2,7
2016-02-19,625.0,Centre,coffee,2016,2,7
2016-02-19,702.0,East,coffee,2016,2,7
2016-02-19,795.0,North,coffee,2016,2,7
2016-02-19,796.0,South,coffee,2016,2,7
2016-02-19,647.0,Littoral,coffee,2016,2,7
2016-02-26,763.0,North West,coffee,2016,2,8
2016-02-26,731.0,South West,coffee,2016,2,8
2016-02-26,712.0,West,coffee,2016,2,8
2016-02-26,727.0,Adamawa,coffee,2016,2,8
2016-02-26,633.0,Far North,coffee,2016,2,8
2016-02-26,705.0,Centre,coffee,2016,2,8
2016-02-26,803.0,East,coffee,2016,2,8
2016-02-26,632.0,North,coffee,2016,2,8
2016-02-26,713.0,South,coffee,2016,2,8
2016-02-26,671.0,Littoral,coffee,2016,2,8
2016-03-04,687.0,North West,coffee,2016,3,9
2016-03-04,693.0,South West,coffee,2016,3,9
2016-03-04,693.0,West,coffee,2016,3,9
2016-03-04,743.0,Adamawa,coffee,2016,3,9
2016-03-04,659.0,Far North,coffee,2016,3,9
2016-03-04,682.0,Centre,coffee,2016,3,9
2016-03-04,591.0,East,coffee,2016,3,9
2016-03-04,732.0,North,coffee,2016,3,9
2016-03-04,636.0,South,coffee,2016,3,9
2016-03-04,737.0,Littoral,coffee,2016,3,9
2016-03-11,611.0,North West,coffee,2016,3,10
2016-03-11,645.0,South West,coffee,2016,3,10
2016-03-11,596.0,West,coffee,2016,3,10
2016-03-11,681.0,Adamawa,coffee,2016,3,10
2016-03-11,628.0,Far North,coffee,2016,3,10
2016-03-11,683.0,Centre,coffee,2016,3,10
2016-03-11,614.0,East,coffee,2016,3,10
2016-03-11,667.0,North,coffee,2016,3,10
2016-03-11,697.0,South,coffee,2016,3,10
2016-03-11,600.0,Littoral,coffee,2016,3,10
2016-03-18,674.0,North West,coffee,2016,3,11
2016-03-18,656.0,South West,coffee,2016,3,11
2016-03-18,645.0,West,coffee,2016,3,11
2016-03-18,712.0,Adamawa,coffee,2016,3,11
2016-03-18,709.0,Far North,coffee,2016,3,11
2016-03-18,717.0,Centre,coffee,2016,3,11
2016-03-18,630.0,East,coffee,2016,3,11
2016-03-18,653.0,North,coffee,2016,3,11
2016-03-18,639.0,South,coffee,2016,3,11
2016-03-18,700.0,Littoral,coffee,2016,3,11
2016-03-25,693.0,North West,coffee,2016,3,12
2016-03-25,575.0,South West,coffee,2016,3,12
2016-03-25,726.0,West,coffee,2016,3,12
2016-03-25,579.0,Adamawa,coffee,2016,3,12
2016-03-25,691.0,Far North,coffee,2016,3,12
2016-03-25,622.0,Centre,coffee,2016,3,12
2016-03-25,707.0,East,coffee,2016,3,12
2016-03-25,571.0,North,coffee,2016,3,12
2016-03-25,623.0,South,coffee,2016,3,12
2016-03-25,616.0,Littoral,coffee,2016,3,12
2016-04-01,772.0,North West,coffee,2016,4,13
2016-04-01,771.0,South West,coffee,2016,4,13
2016-04-01,626.0,West,coffee,2016,4,13
2016-04-01,706.0,Adamawa,coffee,2016,4,13
2016-04-01,689.0,Far North,coffee,2016,4,13
2016-04-01,620.0,Centre,coffee,2016,4,13
2016-04-01,622.0,East,coffee,2016,4,13
2016-04-01,771.0,North,coffee,2016,4,13
2016-04-01,674.0,South,coffee,2016,4,13
2016-04-01,615.0,Littoral,coffee,2016,4,13
2016-04-08,702.0,North West,coffee,2016,4,14
2016-04-08,670.0,South West,coffee,2016,4,14
2016-04-08,692.0,West,coffee,2016,4,14
2016-04-08,638.0,Adamawa,coffee,2016,4,14
2016-04-08,668.0,Far North,coffee,2016,4,14
2016-04-08,620.0,Centre,coffee,2016,4,14
2016-04-08,773.0,East,coffee,2016,4,14
2016-04-08,644.0,North,coffee,2016,4,14
2016-04-08,748.0,South,coffee,2016,4,14
2016-04-08,672.0,Littoral,coffee,2016,4,14
2016-04-15,702.0,North West,coffee,2016,4,15
2016-04-15,668.0,South West,coffee,2016,4,15
2016-04-15,744.0,West,coffee,2016,4,15
2016-04-15,772.0,Adamawa,coffee,2016,4,15
2016-04-15,667.0,Far North,coffee,2016,4,15
2016-04-15,658.0,Centre,coffee,2016,4,15
2016-04-15,741.0,East,coffee,2016,4,15
2016-04-15,649.0,North,coffee,2016,4,15
2016-04-15,733.0,South,coffee,2016,4,15
2016-04-15,631.0,Littoral,coffee,2016,4,15
2016-04-22,676.0,North West,coffee,2016,4,16
2016-04-22,783.0,South West,coffee,2016,4,16
2016-04-22,743.0,West,coffee,2016,4,16
2016-04-22,697.0,Adamawa,coffee,2016,4,16
2016-04-22,724.0,Far North,coffee,2016,4,16
2016-04-22,752.0,Centre,coffee,2016,4,16
2016-04-22,672.0,East,coffee,2016,4,16
2016-04-22,845.0,North,coffee,2016,4,16
2016-04-22,787.0,South,coffee,2016,4,16
2016-04-22,674.0,Littoral,coffee,2016,4,16
2016-04-29,939.0,North West,coffee,2016,4,17
2016-04-29,824.0,South West,coffee,2016,4,17
2016-04-29,887.0,West,coffee,2016,4,17
2016-04-29,814.0,Adamawa,coffee,2016,4,17
2016-04-29,919.0,Far North,coffee,2016,4,17
2016-04-29,916.0,Centre,coffee,2016,4,17
2016-04-29,877.0,East,coffee,2016,4,17
2016-04-29,805.0,North,coffee,2016,4,17
2016-04-29,808.0,South,coffee,2016,4,17
2016-04-29,838.0,Littoral,coffee,2016,4,17
2016-05-06,908.0,North West,coffee,2016,5,18
2016-05-06,941.0,South West,coffee,2016,5,18
2016-05-06,827.0,West,coffee,2016,5,18
2016-05-06,804.0,Adamawa,coffee,2016,5,18
2016-05-06,942.0,Far North,coffee,2016,5,18
2016-05-06,955.0,Centre,coffee,2016,5,18
2016-05-06,844.0,East,coffee,2016,5,18
2016-05-06,756.0,North,coffee,2016,5,18
2016-05-06,910.0,South,coffee,2016,5,18
2016-05-06,931.0,Littoral,coffee,2016,5,18
2016-05-13,737.0,North West,coffee,2016,5,19
2016-05-13,866.0,South West,coffee,2016,5,19
2016-05-13,865.0,West,coffee,2016,5,19
2016-05-13,818.0,Adamawa,coffee,2016,5,19
2016-05-13,901.0,Far North,coffee,2016,5,19
2016-05-13,829.0,Centre,coffee,2016,5,19
2016-05-13,885.0,East,coffee,2016,5,19
2016-05-13,849.0,North,coffee,2016,5,19
2016-05-13,788.0,South,coffee,2016,5,19
2016-05-13,869.0,Littoral,coffee,2016,5,19
2016-05-20,953.0,North West,coffee,2016,5,20
2016-05-20,871.0,South West,coffee,2016,5,20
2016-05-20,943.0,West,coffee,2016,5,20
2016-05-20,754.0,Adamawa,coffee,2016,5,20
2016-05-20,808.0,Far North,coffee,2016,5,20
2016-05-20,761.0,Centre,coffee,2016,5,20
2016-05-20,918.0,East,coffee,2016,5,20
2016-05-20,928.0,North,coffee,2016,5,20
2016-05-20,843.0,South,coffee,2016,5,20
2016-05-20,773.0,Littoral,coffee,2016,5,20
2016-05-27,775.0,North West,coffee,2016,5,21
2016-05-27,881.0,South West,coffee,2016,5,21
2016-05-27,862.0,West,coffee,2016,5,21
2016-05-27,905.0,Adamawa,coffee,2016,5,21
2016-05-27,816.0,Far North,coffee,2016,5,21
2016-05-27,838.0,Centre,coffee,2016,5,21
2016-05-27,751.0,East,coffee,2016,5,21
2016-05-27,886.0,North,coffee,2016,5,21
2016-05-27,843.0,South,coffee,2016,5,21
2016-05-27,957.0,Littoral,coffee,2016,5,21
2016-06-03,799.0,North West,coffee,2016,6,22
2016-06-03,945.0,South West,coffee,2016,6,22
2016-06-03,743.0,West,coffee,2016,6,22
2016-06-03,814.0,Adamawa,coffee,2016,6,22
2016-06-03,954.0,Far North,coffee,2016,6,22
2016-06-03,888.0,Centre,coffee,2016,6,22
2016-06-03,860.0,East,coffee,2016,6,22
2016-06-03,786.0,North,coffee,2016,6,22
2016-06-03,929.0,South,coffee,2016,6,22
2016-06-03,786.0,Littoral,coffee,2016,6,22
2016-06-10,913.0,North West,coffee,2016,6,23
2016-06-10,899.0,South West,coffee,2016,6,23
