date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,298.0,North West,maize,2016,1,53
2016-01-01,288.0,South West,maize,2016,1,53
2016-01-01,255.0,West,maize,2016,1,53
2016-01-01,255.0,Adamawa,maize,2016,1,53
2016-01-01,248.0,Far North,maize,2016,1,53
2016-01-01,308.0,Centre,maize,2016,1,53
2016-01-01,288.0,East,maize,2016,1,53
2016-01-01,296.0,North,maize,2016,1,53
2016-01-01,245.0,South,maize,2016,1,53
2016-01-01,316.0,Littoral,maize,2016,1,53
2016-01-08,321.0,North West,maize,2016,1,1
2016-01-08,272.0,South West,maize,2016,1,1
2016-01-08,270.0,West,maize,2016,1,1
2016-01-08,270.0,Adamawa,maize,2016,1,1
2016-01-08,279.0,Far North,maize,2016,1,1
2016-01-08,297.0,Centre,maize,2016,1,1
2016-01-08,289.0,East,maize,2016,1,1
2016-01-08,278.0,North,maize,2016,1,1
2016-01-08,303.0,South,maize,2016,1,1
2016-01-08,266.0,Littoral,maize,2016,1,1
2016-01-15,295.0,North West,maize,2016,1,2
2016-01-15,321.0,South West,maize,2016,1,2
2016-01-15,275.0,West,maize,2016,1,2
2016-01-15,299.0,Adamawa,maize,2016,1,2
2016-01-15,306.0,Far North,maize,2016,1,2
2016-01-15,262.0,Centre,maize,2016,1,2
2016-01-15,307.0,East,maize,2016,1,2
2016-01-15,272.0,North,maize,2016,1,2
2016-01-15,264.0,South,maize,2016,1,2
2016-01-15,334.0,Littoral,maize,2016,1,2
2016-01-22,334.0,North West,maize,2016,1,3
2016-01-22,321.0,South West,maize,2016,1,3
2016-01-22,281.0,West,maize,2016,1,3
2016-01-22,265.0,Adamawa,maize,2016,1,3
2016-01-22,311.0,Far North,maize,2016,1,3
2016-01-22,292.0,Centre,maize,2016,1,3
2016-01-22,267.0,East,maize,2016,1,3
2016-01-22,297.0,North,maize,2016,1,3
2016-01-22,260.0,South,maize,2016,1,3
2016-01-22,329.0,Littoral,maize,2016,1,3
2016-01-29,298.0,North West,maize,2016,1,4
2016-01-29,315.0,South West,maize,2016,1,4
2016-01-29,318.0,West,maize,2016,1,4
2016-01-29,287.0,Adamawa,maize,2016,1,4
2016-01-29,353.0,Far North,maize,2016,1,4
2016-01-29,337.0,Centre,maize,2016,1,4
2016-01-29,350.0,East,maize,2016,1,4
2016-01-29,347.0,North,maize,2016,1,4
2016-01-29,322.0,South,maize,2016,1,4
2016-01-29,349.0,Littoral,maize,2016,1,4
2016-02-05,278.0,North West,maize,2016,2,5
2016-02-05,287.0,South West,maize,2016,2,5
2016-02-05,275.0,West,maize,2016,2,5
2016-02-05,298.0,Adamawa,maize,2016,2,5
2016-02-05,303.0,Far North,maize,2016,2,5
2016-02-05,294.0,Centre,maize,2016,2,5
2016-02-05,340.0,East,maize,2016,2,5
