date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,450.0,North West,onion,2016,1,53
2016-01-01,467.0,South West,onion,2016,1,53
2016-01-01,430.0,West,onion,2016,1,53
2016-01-01,513.0,Adamawa,onion,2016,1,53
2016-01-01,528.0,Far North,onion,2016,1,53
2016-01-01,472.0,Centre,onion,2016,1,53
2016-01-01,466.0,East,onion,2016,1,53
2016-01-01,504.0,North,onion,2016,1,53
2016-01-01,429.0,South,onion,2016,1,53
2016-01-01,457.0,Littoral,onion,2016,1,53
2016-01-08,504.0,North West,onion,2016,1,1
2016-01-08,525.0,South West,onion,2016,1,1
2016-01-08,519.0,West,onion,2016,1,1
2016-01-08,482.0,Adamawa,onion,2016,1,1
2016-01-08,528.0,Far North,onion,2016,1,1
2016-01-08,582.0,Centre,onion,2016,1,1
2016-01-08,457.0,East,onion,2016,1,1
2016-01-08,547.0,North,onion,2016,1,1
2016-01-08,540.0,South,onion,2016,1,1
2016-01-08,581.0,Littoral,onion,2016,1,1
2016-01-15,622.0,North West,onion,2016,1,2
2016-01-15,545.0,South West,onion,2016,1,2
2016-01-15,595.0,West,onion,2016,1,2
2016-01-15,583.0,Adamawa,onion,2016,1,2
2016-01-15,571.0,Far North,onion,2016,1,2
2016-01-15,516.0,Centre,onion,2016,1,2
2016-01-15,548.0,East,onion,2016,1,2
2016-01-15,547.0,North,onion,2016,1,2
2016-01-15,615.0,South,onion,2016,1,2
2016-01-15,645.0,Littoral,onion,2016,1,2
2016-01-22,583.0,North West,onion,2016,1,3
2016-01-22,557.0,South West,onion,2016,1,3
2016-01-22,711.0,West,onion,2016,1,3
2016-01-22,660.0,Adamawa,onion,2016,1,3
2016-01-22,692.0,Far North,onion,2016,1,3
2016-01-22,568.0,Centre,onion,2016,1,3
2016-01-22,678.0,East,onion,2016,1,3
2016-01-22,680.0,North,onion,2016,1,3
2016-01-22,570.0,South,onion,2016,1,3
2016-01-22,571.0,Littoral,onion,2016,1,3
2016-01-29,658.0,North West,onion,2016,1,4
2016-01-29,563.0,South West,onion,2016,1,4
2016-01-29,624.0,West,onion,2016,1,4
2016-01-29,631.0,Adamawa,onion,2016,1,4
2016-01-29,566.0,Far North,onion,2016,1,4
2016-01-29,612.0,Centre,onion,2016,1,4
2016-01-29,523.0,East,onion,2016,1,4
2016-01-29,568.0,North,onion,2016,1,4
2016-01-29,656.0,South,onion,2016,1,4
2016-01-29,532.0,Littoral,onion,2016,1,4
2016-02-05,551.0,North West,onion,2016,2,5
2016-02-05,613.0,South West,onion,2016,2,5
2016-02-05,594.0,West,onion,2016,2,5
2016-02-05,589.0,Adamawa,onion,2016,2,5
2016-02-05,622.0,Far North,onion,2016,2,5
2016-02-05,497.0,Centre,onion,2016,2,5
2016-02-05,610.0,East,onion,2016,2,5
2016-02-05,627.0,North,onion,2016,2,5
2016-02-05,496.0,South,onion,2016,2,5
