date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,912.0,North West,palm_oil,2016,1,53
2016-01-01,951.0,South West,palm_oil,2016,1,53
2016-01-01,952.0,West,palm_oil,2016,1,53
2016-01-01,1032.0,Adamawa,palm_oil,2016,1,53
2016-01-01,968.0,Far North,palm_oil,2016,1,53
2016-01-01,1030.0,Centre,palm_oil,2016,1,53
2016-01-01,1043.0,East,palm_oil,2016,1,53
2016-01-01,1101.0,North,palm_oil,2016,1,53
2016-01-01,1160.0,South,palm_oil,2016,1,53
2016-01-01,1038.0,Littoral,palm_oil,2016,1,53
2016-01-08,984.0,North West,palm_oil,2016,1,1
2016-01-08,957.0,South West,palm_oil,2016,1,1
2016-01-08,1060.0,West,palm_oil,2016,1,1
2016-01-08,1144.0,Adamawa,palm_oil,2016,1,1
2016-01-08,1095.0,Far North,palm_oil,2016,1,1
2016-01-08,943.0,Centre,palm_oil,2016,1,1
2016-01-08,1130.0,East,palm_oil,2016,1,1
2016-01-08,1087.0,North,palm_oil,2016,1,1
2016-01-08,922.0,South,palm_oil,2016,1,1
2016-01-08,1081.0,Littoral,palm_oil,2016,1,1
2016-01-15,982.0,North West,palm_oil,2016,1,2
2016-01-15,923.0,South West,palm_oil,2016,1,2
2016-01-15,1112.0,West,palm_oil,2016,1,2
2016-01-15,1128.0,Adamawa,palm_oil,2016,1,2
2016-01-15,963.0,Far North,palm_oil,2016,1,2
2016-01-15,966.0,Centre,palm_oil,2016,1,2
2016-01-15,1018.0,East,palm_oil,2016,1,2
2016-01-15,1123.0,North,palm_oil,2016,1,2
2016-01-15,921.0,South,palm_oil,2016,1,2
2016-01-15,1123.0,Littoral,palm_oil,2016,1,2
2016-01-22,1114.0,North West,palm_oil,2016,1,3
2016-01-22,1018.0,South West,palm_oil,2016,1,3
2016-01-22,884.0,West,palm_oil,2016,1,3
2016-01-22,940.0,Adamawa,palm_oil,2016,1,3
2016-01-22,898.0,Far North,palm_oil,2016,1,3
2016-01-22,937.0,Centre,palm_oil,2016,1,3
2016-01-22,1085.0,East,palm_oil,2016,1,3
2016-01-22,883.0,North,palm_oil,2016,1,3
2016-01-22,944.0,South,palm_oil,2016,1,3
2016-01-22,1006.0,Littoral,palm_oil,2016,1,3
2016-01-29,1091.0,North West,palm_oil,2016,1,4
2016-01-29,1038.0,South West,palm_oil,2016,1,4
2016-01-29,1063.0,West,palm_oil,2016,1,4
2016-01-29,1113.0,Adamawa,palm_oil,2016,1,4
2016-01-29,887.0,Far North,palm_oil,2016,1,4
2016-01-29,1023.0,Centre,palm_oil,2016,1,4
2016-01-29,1082.0,East,palm_oil,2016,1,4
2016-01-29,1119.0,North,palm_oil,2016,1,4
2016-01-29,916.0,South,palm_oil,2016,1,4
2016-01-29,973.0,Littoral,palm_oil,2016,1,4
2016-02-05,914.0,North West,palm_oil,2016,2,5
2016-02-05,1121.0,South West,palm_oil,2016,2,5
2016-02-05,1127.0,West,palm_oil,2016,2,5
2016-02-05,1025.0,Adamawa,palm_oil,2016,2,5
2016-02-05,898.0,Far North,palm_oil,2016,2,5
2016-02-05,921.0,Centre,palm_oil,2016,2,5
2016-02-05,1064.0,East,palm_oil,2016,2,5
2016-02-05,1162.0,North,palm_oil,2016,2,5
2016-02-05,1122.0,South,palm_oil,2016,2,5
2016-02-05,1111.0,Littoral,palm_oil,2016,2,5
2016-02-12,1122.0,North West,palm_oil,2016,2,6
2016-02-12,987.0,South West,palm_oil,2016,2,6
2016-02-12,1101.0,West,palm_oil,2016,2,6
2016-02-12,1014.0,Adamawa,palm_oil,2016,2,6
2016-02-12,1077.0,Far North,palm_oil,2016,2,6
2016-02-12,1162.0,Centre,palm_oil,2016,2,6
2016-02-12,963.0,East,palm_oil,2016,2,6
2016-02-12,1113.0,North,palm_oil,2016,2,6
2016-02-12,1057.0,South,palm_oil,2016,2,6
2016-02-12,1156.0,Littoral,palm_oil,2016,2,6
2016-02-19,928.0,North West,palm_oil,2016,2,7
2016-02-19,1088.0,South West,palm_oil,2016,2,7
2016-02-19,901.0,West,palm_oil,2016,2,7
2016-02-19,958.0,Adamawa,palm_oil,2016,2,7
2016-02-19,979.0,Far North,palm_oil,2016,2,7
2016-02-19,1009.0,Centre,palm_oil,2016,2,7
2016-02-19,1155.0,East,palm_oil,2016,2,7
2016-02-19,909.0,North,palm_oil,2016,2,7
2016-02-19,937.0,South,palm_oil,2016,2,7
2016-02-19,946.0,Littoral,palm_oil,2016,2,7
2016-02-26,1134.0,North West,palm_oil,2016,2,8
2016-02-26,1025.0,South West,palm_oil,2016,2,8
2016-02-26,1093.0,West,palm_oil,2016,2,8
2016-02-26,1082.0,Adamawa,palm_oil,2016,2,8
2016-02-26,1052.0,Far North,palm_oil,2016,2,8
2016-02-26,1118.0,Centre,palm_oil,2016,2,8
2016-02-26,1117.0,East,palm_oil,2016,2,8
2016-02-26,909.0,North,palm_oil,2016,2,8
2016-02-26,1117.0,South,palm_oil,2016,2,8
2016-02-26,1015.0,Littoral,palm_oil,2016,2,8
2016-03-04,930.0,North West,palm_oil,2016,3,9
2016-03-04,1020.0,South West,palm_oil,2016,3,9
2016-03-04,934.0,West,palm_oil,2016,3,9
