date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,169.0,North West,plantain,2016,1,53
2016-01-01,161.0,South West,plantain,2016,1,53
2016-01-01,176.0,West,plantain,2016,1,53
2016-01-01,191.0,Adamawa,plantain,2016,1,53
2016-01-01,147.0,Far North,plantain,2016,1,53
2016-01-01,186.0,Centre,plantain,2016,1,53
2016-01-01,146.0,East,plantain,2016,1,53
2016-01-01,162.0,North,plantain,2016,1,53
2016-01-01,154.0,South,plantain,2016,1,53
2016-01-01,180.0,Littoral,plantain,2016,1,53
2016-01-08,165.0,North West,plantain,2016,1,1
2016-01-08,190.0,South West,plantain,2016,1,1
2016-01-08,177.0,West,plantain,2016,1,1
2016-01-08,169.0,Adamawa,plantain,2016,1,1
2016-01-08,201.0,Far North,plantain,2016,1,1
2016-01-08,173.0,Centre,plantain,2016,1,1
2016-01-08,173.0,East,plantain,2016,1,1
2016-01-08,176.0,North,plantain,2016,1,1
2016-01-08,191.0,South,plantain,2016,1,1
2016-01-08,195.0,Littoral,plantain,2016,1,1
2016-01-15,199.0,North West,plantain,2016,1,2
2016-01-15,194.0,South West,plantain,2016,1,2
2016-01-15,186.0,West,plantain,2016,1,2
2016-01-15,173.0,Adamawa,plantain,2016,1,2
2016-01-15,190.0,Far North,plantain,2016,1,2
2016-01-15,197.0,Centre,plantain,2016,1,2
2016-01-15,185.0,East,plantain,2016,1,2
2016-01-15,194.0,North,plantain,2016,1,2
2016-01-15,192.0,South,plantain,2016,1,2
2016-01-15,184.0,Littoral,plantain,2016,1,2
2016-01-22,175.0,North West,plantain,2016,1,3
2016-01-22,196.0,South West,plantain,2016,1,3
2016-01-22,170.0,West,plantain,2016,1,3
2016-01-22,198.0,Adamawa,plantain,2016,1,3
2016-01-22,199.0,Far North,plantain,2016,1,3
2016-01-22,200.0,Centre,plantain,2016,1,3
2016-01-22,183.0,East,plantain,2016,1,3
2016-01-22,169.0,North,plantain,2016,1,3
2016-01-22,164.0,South,plantain,2016,1,3
2016-01-22,196.0,Littoral,plantain,2016,1,3
2016-01-29,176.0,North West,plantain,2016,1,4
2016-01-29,217.0,South West,plantain,2016,1,4
2016-01-29,220.0,West,plantain,2016,1,4
2016-01-29,191.0,Adamawa,plantain,2016,1,4
2016-01-29,200.0,Far North,plantain,2016,1,4
2016-01-29,209.0,Centre,plantain,2016,1,4
2016-01-29,207.0,East,plantain,2016,1,4
2016-01-29,219.0,North,plantain,2016,1,4
2016-01-29,175.0,South,plantain,2016,1,4
2016-01-29,199.0,Littoral,plantain,2016,1,4
2016-02-05,220.0,North West,plantain,2016,2,5
2016-02-05,231.0,South West,plantain,2016,2,5
2016-02-05,230.0,West,plantain,2016,2,5
2016-02-05,236.0,Adamawa,plantain,2016,2,5
2016-02-05,210.0,Far North,plantain,2016,2,5
2016-02-05,228.0,Centre,plantain,2016,2,5
2016-02-05,205.0,East,plantain,2016,2,5
2016-02-05,205.0,North,plantain,2016,2,5
2016-02-05,195.0,South,plantain,2016,2,5
2016-02-05,227.0,Littoral,plantain,2016,2,5
2016-02-12,202.0,North West,plantain,2016,2,6
2016-02-12,192.0,South West,plantain,2016,2,6
2016-02-12,216.0,West,plantain,2016,2,6
2016-02-12,192.0,Adamawa,plantain,2016,2,6
2016-02-12,203.0,Far North,plantain,2016,2,6
2016-02-12,195.0,Centre,plantain,2016,2,6
2016-02-12,200.0,East,plantain,2016,2,6
2016-02-12,194.0,North,plantain,2016,2,6
2016-02-12,242.0,South,plantain,2016,2,6
2016-02-12,204.0,Littoral,plantain,2016,2,6
2016-02-19,216.0,North West,plantain,2016,2,7
2016-02-19,242.0,South West,plantain,2016,2,7
2016-02-19,229.0,West,plantain,2016,2,7
2016-02-19,226.0,Adamawa,plantain,2016,2,7
2016-02-19,231.0,Far North,plantain,2016,2,7
2016-02-19,238.0,Centre,plantain,2016,2,7
2016-02-19,241.0,East,plantain,2016,2,7
2016-02-19,227.0,North,plantain,2016,2,7
2016-02-19,241.0,South,plantain,2016,2,7
2016-02-19,221.0,Littoral,plantain,2016,2,7
2016-02-26,227.0,North West,plantain,2016,2,8
2016-02-26,249.0,South West,plantain,2016,2,8
2016-02-26,197.0,West,plantain,2016,2,8
2016-02-26,218.0,Adamawa,plantain,2016,2,8
2016-02-26,251.0,Far North,plantain,2016,2,8
2016-02-26,210.0,Centre,plantain,2016,2,8
2016-02-26,251.0,East,plantain,2016,2,8
2016-02-26,252.0,North,plantain,2016,2,8
2016-02-26,247.0,South,plantain,2016,2,8
2016-02-26,228.0,Littoral,plantain,2016,2,8
2016-03-04,227.0,North West,plantain,2016,3,9
2016-03-04,240.0,South West,plantain,2016,3,9
2016-03-04,234.0,West,plantain,2016,3,9
2016-03-04,226.0,Adamawa,plantain,2016,3,9
2016-03-04,246.0,Far North,plantain,2016,3,9
2016-03-04,229.0,Centre,plantain,2016,3,9
2016-03-04,246.0,East,plantain,2016,3,9
2016-03-04,192.0,North,plantain,2016,3,9
2016-03-04,197.0,South,plantain,2016,3,9
2016-03-04,215.0,Littoral,plantain,2016,3,9
2016-03-11,206.0,North West,plantain,2016,3,10
2016-03-11,255.0,South West,plantain,2016,3,10
2016-03-11,215.0,West,plantain,2016,3,10
2016-03-11,222.0,Adamawa,plantain,2016,3,10
2016-03-11,213.0,Far North,plantain,2016,3,10
2016-03-11,231.0,Centre,plantain,2016,3,10
2016-03-11,200.0,East,plantain,2016,3,10
2016-03-11,205.0,North,plantain,2016,3,10
2016-03-11,241.0,South,plantain,2016,3,10
2016-03-11,208.0,Littoral,plantain,2016,3,10
2016-03-18,203.0,North West,plantain,2016,3,11
2016-03-18,235.0,South West,plantain,2016,3,11
2016-03-18,195.0,West,plantain,2016,3,11
2016-03-18,215.0,Adamawa,plantain,2016,3,11
2016-03-18,191.0,Far North,plantain,2016,3,11
2016-03-18,209.0,Centre,plantain,2016,3,11
2016-03-18,230.0,East,plantain,2016,3,11
2016-03-18,194.0,North,plantain,2016,3,11
2016-03-18,241.0,South,plantain,2016,3,11
2016-03-18,242.0,Littoral,plantain,2016,3,11
2016-03-25,185.0,North West,plantain,2016,3,12
2016-03-25,208.0,South West,plantain,2016,3,12
2016-03-25,220.0,West,plantain,2016,3,12
2016-03-25,203.0,Adamawa,plantain,2016,3,12
2016-03-25,232.0,Far North,plantain,2016,3,12
2016-03-25,225.0,Centre,plantain,2016,3,12
2016-03-25,204.0,East,plantain,2016,3,12
2016-03-25,226.0,North,plantain,2016,3,12
