date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,305.0,North West,potato,2016,1,53
2016-01-01,324.0,South West,potato,2016,1,53
2016-01-01,276.0,West,potato,2016,1,53
2016-01-01,312.0,Adamawa,potato,2016,1,53
2016-01-01,322.0,Far North,potato,2016,1,53
2016-01-01,332.0,Centre,potato,2016,1,53
2016-01-01,273.0,East,potato,2016,1,53
2016-01-01,290.0,North,potato,2016,1,53
2016-01-01,307.0,South,potato,2016,1,53
2016-01-01,320.0,Littoral,potato,2016,1,53
2016-01-08,363.0,North West,potato,2016,1,1
2016-01-08,320.0,South West,potato,2016,1,1
2016-01-08,298.0,West,potato,2016,1,1
2016-01-08,360.0,Adamawa,potato,2016,1,1
2016-01-08,379.0,Far North,potato,2016,1,1
2016-01-08,369.0,Centre,potato,2016,1,1
2016-01-08,353.0,East,potato,2016,1,1
2016-01-08,386.0,North,potato,2016,1,1
2016-01-08,336.0,South,potato,2016,1,1
2016-01-08,344.0,Littoral,potato,2016,1,1
2016-01-15,290.0,North West,potato,2016,1,2
2016-01-15,318.0,South West,potato,2016,1,2
2016-01-15,286.0,West,potato,2016,1,2
2016-01-15,314.0,Adamawa,potato,2016,1,2
2016-01-15,369.0,Far North,potato,2016,1,2
2016-01-15,299.0,Centre,potato,2016,1,2
2016-01-15,334.0,East,potato,2016,1,2
2016-01-15,302.0,North,potato,2016,1,2
2016-01-15,355.0,South,potato,2016,1,2
2016-01-15,335.0,Littoral,potato,2016,1,2
2016-01-22,336.0,North West,potato,2016,1,3
2016-01-22,401.0,South West,potato,2016,1,3
2016-01-22,393.0,West,potato,2016,1,3
2016-01-22,409.0,Adamawa,potato,2016,1,3
2016-01-22,317.0,Far North,potato,2016,1,3
2016-01-22,361.0,Centre,potato,2016,1,3
2016-01-22,414.0,East,potato,2016,1,3
2016-01-22,395.0,North,potato,2016,1,3
2016-01-22,397.0,South,potato,2016,1,3
2016-01-22,377.0,Littoral,potato,2016,1,3
2016-01-29,342.0,North West,potato,2016,1,4
2016-01-29,403.0,South West,potato,2016,1,4
2016-01-29,415.0,West,potato,2016,1,4
2016-01-29,336.0,Adamawa,potato,2016,1,4
2016-01-29,362.0,Far North,potato,2016,1,4
2016-01-29,365.0,Centre,potato,2016,1,4
2016-01-29,419.0,East,potato,2016,1,4
2016-01-29,412.0,North,potato,2016,1,4
2016-01-29,399.0,South,potato,2016,1,4
2016-01-29,414.0,Littoral,potato,2016,1,4
2016-02-05,383.0,North West,potato,2016,2,5
2016-02-05,427.0,South West,potato,2016,2,5
2016-02-05,360.0,West,potato,2016,2,5
2016-02-05,409.0,Adamawa,potato,2016,2,5
2016-02-05,361.0,Far North,potato,2016,2,5
2016-02-05,340.0,Centre,potato,2016,2,5
2016-02-05,366.0,East,potato,2016,2,5
2016-02-05,387.0,North,potato,2016,2,5
2016-02-05,423.0,South,potato,2016,2,5
2016-02-05,389.0,Littoral,potato,2016,2,5
2016-02-12,342.0,North West,potato,2016,2,6
2016-02-12,404.0,South West,potato,2016,2,6
2016-02-12,419.0,West,potato,2016,2,6
2016-02-12,378.0,Adamawa,potato,2016,2,6
2016-02-12,357.0,Far North,potato,2016,2,6
2016-02-12,415.0,Centre,potato,2016,2,6
2016-02-12,388.0,East,potato,2016,2,6
2016-02-12,353.0,North,potato,2016,2,6
2016-02-12,430.0,South,potato,2016,2,6
2016-02-12,430.0,Littoral,potato,2016,2,6
2016-02-19,376.0,North West,potato,2016,2,7
2016-02-19,345.0,South West,potato,2016,2,7
2016-02-19,403.0,West,potato,2016,2,7
2016-02-19,371.0,Adamawa,potato,2016,2,7
2016-02-19,345.0,Far North,potato,2016,2,7
2016-02-19,430.0,Centre,potato,2016,2,7
2016-02-19,441.0,East,potato,2016,2,7
2016-02-19,374.0,North,potato,2016,2,7
2016-02-19,415.0,South,potato,2016,2,7
2016-02-19,345.0,Littoral,potato,2016,2,7
2016-02-26,329.0,North West,potato,2016,2,8
2016-02-26,382.0,South West,potato,2016,2,8
2016-02-26,403.0,West,potato,2016,2,8
2016-02-26,368.0,Adamawa,potato,2016,2,8
2016-02-26,375.0,Far North,potato,2016,2,8
2016-02-26,350.0,Centre,potato,2016,2,8
2016-02-26,397.0,East,potato,2016,2,8
2016-02-26,359.0,North,potato,2016,2,8
2016-02-26,330.0,South,potato,2016,2,8
2016-02-26,340.0,Littoral,potato,2016,2,8
2016-03-04,323.0,North West,potato,2016,3,9
2016-03-04,352.0,South West,potato,2016,3,9
2016-03-04,317.0,West,potato,2016,3,9
2016-03-04,388.0,Adamawa,potato,2016,3,9
2016-03-04,397.0,Far North,potato,2016,3,9
2016-03-04,334.0,Centre,potato,2016,3,9
2016-03-04,357.0,East,potato,2016,3,9
2016-03-04,360.0,North,potato,2016,3,9
2016-03-04,405.0,South,potato,2016,3,9
2016-03-04,317.0,Littoral,potato,2016,3,9
2016-03-11,337.0,North West,potato,2016,3,10
