date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,426.0,North West,rice,2016,1,53
2016-01-01,544.0,South West,rice,2016,1,53
2016-01-01,508.0,West,rice,2016,1,53
2016-01-01,501.0,Adamawa,rice,2016,1,53
2016-01-01,455.0,Far North,rice,2016,1,53
2016-01-01,452.0,Centre,rice,2016,1,53
2016-01-01,541.0,East,rice,2016,1,53
2016-01-01,459.0,North,rice,2016,1,53
2016-01-01,520.0,South,rice,2016,1,53
2016-01-01,471.0,Littoral,rice,2016,1,53
2016-01-08,440.0,North West,rice,2016,1,1
2016-01-08,423.0,South West,rice,2016,1,1
2016-01-08,492.0,West,rice,2016,1,1
2016-01-08,548.0,Adamawa,rice,2016,1,1
2016-01-08,470.0,Far North,rice,2016,1,1
2016-01-08,468.0,Centre,rice,2016,1,1
2016-01-08,466.0,East,rice,2016,1,1
2016-01-08,489.0,North,rice,2016,1,1
2016-01-08,479.0,South,rice,2016,1,1
2016-01-08,536.0,Littoral,rice,2016,1,1
2016-01-15,525.0,North West,rice,2016,1,2
2016-01-15,655.0,South West,rice,2016,1,2
2016-01-15,542.0,West,rice,2016,1,2
2016-01-15,515.0,Adamawa,rice,2016,1,2
2016-01-15,606.0,Far North,rice,2016,1,2
2016-01-15,595.0,Centre,rice,2016,1,2
2016-01-15,567.0,East,rice,2016,1,2
2016-01-15,569.0,North,rice,2016,1,2
2016-01-15,625.0,South,rice,2016,1,2
2016-01-15,534.0,Littoral,rice,2016,1,2
2016-01-22,643.0,North West,rice,2016,1,3
2016-01-22,616.0,South West,rice,2016,1,3
2016-01-22,579.0,West,rice,2016,1,3
2016-01-22,586.0,Adamawa,rice,2016,1,3
2016-01-22,554.0,Far North,rice,2016,1,3
2016-01-22,632.0,Centre,rice,2016,1,3
2016-01-22,594.0,East,rice,2016,1,3
2016-01-22,564.0,North,rice,2016,1,3
2016-01-22,607.0,South,rice,2016,1,3
2016-01-22,670.0,Littoral,rice,2016,1,3
2016-01-29,554.0,North West,rice,2016,1,4
2016-01-29,509.0,South West,rice,2016,1,4
2016-01-29,532.0,West,rice,2016,1,4
2016-01-29,565.0,Adamawa,rice,2016,1,4
2016-01-29,535.0,Far North,rice,2016,1,4
2016-01-29,501.0,Centre,rice,2016,1,4
2016-01-29,641.0,East,rice,2016,1,4
2016-01-29,630.0,North,rice,2016,1,4
2016-01-29,615.0,South,rice,2016,1,4
2016-01-29,527.0,Littoral,rice,2016,1,4
2016-02-05,507.0,North West,rice,2016,2,5
2016-02-05,499.0,South West,rice,2016,2,5
2016-02-05,597.0,West,rice,2016,2,5
2016-02-05,628.0,Adamawa,rice,2016,2,5
2016-02-05,553.0,Far North,rice,2016,2,5
2016-02-05,506.0,Centre,rice,2016,2,5
2016-02-05,565.0,East,rice,2016,2,5
2016-02-05,541.0,North,rice,2016,2,5
2016-02-05,545.0,South,rice,2016,2,5
2016-02-05,582.0,Littoral,rice,2016,2,5
2016-02-12,479.0,North West,rice,2016,2,6
2016-02-12,618.0,South West,rice,2016,2,6
2016-02-12,508.0,West,rice,2016,2,6
2016-02-12,482.0,Adamawa,rice,2016,2,6
2016-02-12,501.0,Far North,rice,2016,2,6
2016-02-12,479.0,Centre,rice,2016,2,6
2016-02-12,531.0,East,rice,2016,2,6
2016-02-12,590.0,North,rice,2016,2,6
2016-02-12,523.0,South,rice,2016,2,6
2016-02-12,538.0,Littoral,rice,2016,2,6
2016-02-19,575.0,North West,rice,2016,2,7
2016-02-19,550.0,South West,rice,2016,2,7
2016-02-19,602.0,West,rice,2016,2,7
2016-02-19,603.0,Adamawa,rice,2016,2,7
2016-02-19,478.0,Far North,rice,2016,2,7
2016-02-19,590.0,Centre,rice,2016,2,7
2016-02-19,543.0,East,rice,2016,2,7
2016-02-19,621.0,North,rice,2016,2,7
2016-02-19,547.0,South,rice,2016,2,7
2016-02-19,620.0,Littoral,rice,2016,2,7
2016-02-26,538.0,North West,rice,2016,2,8
2016-02-26,603.0,South West,rice,2016,2,8
2016-02-26,583.0,West,rice,2016,2,8
2016-02-26,476.0,Adamawa,rice,2016,2,8
2016-02-26,562.0,Far North,rice,2016,2,8
2016-02-26,511.0,Centre,rice,2016,2,8
2016-02-26,463.0,East,rice,2016,2,8
2016-02-26,519.0,North,rice,2016,2,8
2016-02-26,495.0,South,rice,2016,2,8
2016-02-26,578.0,Littoral,rice,2016,2,8
2016-03-04,528.0,North West,rice,2016,3,9
2016-03-04,600.0,South West,rice,2016,3,9
2016-03-04,479.0,West,rice,2016,3,9
2016-03-04,524.0,Adamawa,rice,2016,3,9
2016-03-04,514.0,Far North,rice,2016,3,9
2016-03-04,513.0,Centre,rice,2016,3,9
2016-03-04,488.0,East,rice,2016,3,9
2016-03-04,506.0,North,rice,2016,3,9
2016-03-04,560.0,South,rice,2016,3,9
2016-03-04,521.0,Littoral,rice,2016,3,9
2016-03-11,573.0,North West,rice,2016,3,10
2016-03-11,578.0,South West,rice,2016,3,10
2016-03-11,520.0,West,rice,2016,3,10
2016-03-11,498.0,Adamawa,rice,2016,3,10
2016-03-11,467.0,Far North,rice,2016,3,10
2016-03-11,584.0,Centre,rice,2016,3,10
2016-03-11,460.0,East,rice,2016,3,10
2016-03-11,493.0,North,rice,2016,3,10
2016-03-11,493.0,South,rice,2016,3,10
2016-03-11,496.0,Littoral,rice,2016,3,10
2016-03-18,465.0,North West,rice,2016,3,11
2016-03-18,549.0,South West,rice,2016,3,11
2016-03-18,459.0,West,rice,2016,3,11
2016-03-18,528.0,Adamawa,rice,2016,3,11
2016-03-18,459.0,Far North,rice,2016,3,11
2016-03-18,452.0,Centre,rice,2016,3,11
2016-03-18,566.0,East,rice,2016,3,11
2016-03-18,468.0,North,rice,2016,3,11
2016-03-18,554.0,South,rice,2016,3,11
2016-03-18,516.0,Littoral,rice,2016,3,11
2016-03-25,485.0,North West,rice,2016,3,12
2016-03-25,582.0,South West,rice,2016,3,12
2016-03-25,463.0,West,rice,2016,3,12
2016-03-25,534.0,Adamawa,rice,2016,3,12
2016-03-25,570.0,Far North,rice,2016,3,12
2016-03-25,594.0,Centre,rice,2016,3,12
2016-03-25,590.0,East,rice,2016,3,12
2016-03-25,578.0,North,rice,2016,3,12
2016-03-25,587.0,South,rice,2016,3,12
2016-03-25,490.0,Littoral,rice,2016,3,12
2016-04-01,498.0,North West,rice,2016,4,13
2016-04-01,498.0,South West,rice,2016,4,13
2016-04-01,511.0,West,rice,2016,4,13
2016-04-01,513.0,Adamawa,rice,2016,4,13
2016-04-01,534.0,Far North,rice,2016,4,13
2016-04-01,480.0,Centre,rice,2016,4,13
2016-04-01,555.0,East,rice,2016,4,13
2016-04-01,481.0,North,rice,2016,4,13
2016-04-01,501.0,South,rice,2016,4,13
2016-04-01,528.0,Littoral,rice,2016,4,13
2016-04-08,563.0,North West,rice,2016,4,14
2016-04-08,493.0,South West,rice,2016,4,14
2016-04-08,549.0,West,rice,2016,4,14
2016-04-08,483.0,Adamawa,rice,2016,4,14
2016-04-08,524.0,Far North,rice,2016,4,14
2016-04-08,530.0,Centre,rice,2016,4,14
2016-04-08,476.0,East,rice,2016,4,14
2016-04-08,510.0,North,rice,2016,4,14
2016-04-08,608.0,South,rice,2016,4,14
2016-04-08,608.0,Littoral,rice,2016,4,14
2016-04-15,533.0,North West,rice,2016,4,15
2016-04-15,487.0,South West,rice,2016,4,15
2016-04-15,507.0,West,rice,2016,4,15
2016-04-15,539.0,Adamawa,rice,2016,4,15
2016-04-15,621.0,Far North,rice,2016,4,15
2016-04-15,502.0,Centre,rice,2016,4,15
2016-04-15,594.0,East,rice,2016,4,15
2016-04-15,497.0,North,rice,2016,4,15
2016-04-15,626.0,South,rice,2016,4,15
2016-04-15,537.0,Littoral,rice,2016,4,15
2016-04-22,558.0,North West,rice,2016,4,16
2016-04-22,496.0,South West,rice,2016,4,16
2016-04-22,489.0,West,rice,2016,4,16
2016-04-22,603.0,Adamawa,rice,2016,4,16
2016-04-22,600.0,Far North,rice,2016,4,16
2016-04-22,595.0,Centre,rice,2016,4,16
2016-04-22,558.0,East,rice,2016,4,16
2016-04-22,584.0,North,rice,2016,4,16
2016-04-22,478.0,South,rice,2016,4,16
2016-04-22,516.0,Littoral,rice,2016,4,16
2016-04-29,531.0,North West,rice,2016,4,17
2016-04-29,579.0,South West,rice,2016,4,17
2016-04-29,538.0,West,rice,2016,4,17
2016-04-29,507.0,Adamawa,rice,2016,4,17
2016-04-29,573.0,Far North,rice,2016,4,17
2016-04-29,606.0,Centre,rice,2016,4,17
2016-04-29,542.0,East,rice,2016,4,17
2016-04-29,504.0,North,rice,2016,4,17
2016-04-29,514.0,South,rice,2016,4,17
2016-04-29,520.0,Littoral,rice,2016,4,17
2016-05-06,574.0,North West,rice,2016,5,18
2016-05-06,588.0,South West,rice,2016,5,18
2016-05-06,538.0,West,rice,2016,5,18
2016-05-06,607.0,Adamawa,rice,2016,5,18
2016-05-06,515.0,Far North,rice,2016,5,18
2016-05-06,554.0,Centre,rice,2016,5,18
2016-05-06,603.0,East,rice,2016,5,18
2016-05-06,511.0,North,rice,2016,5,18
2016-05-06,501.0,South,rice,2016,5,18
2016-05-06,616.0,Littoral,rice,2016,5,18
2016-05-13,501.0,North West,rice,2016,5,19
2016-05-13,548.0,South West,rice,2016,5,19
2016-05-13,457.0,West,rice,2016,5,19
2016-05-13,549.0,Adamawa,rice,2016,5,19
2016-05-13,497.0,Far North,rice,2016,5,19
2016-05-13,461.0,Centre,rice,2016,5,19
2016-05-13,538.0,East,rice,2016,5,19
2016-05-13,486.0,North,rice,2016,5,19
2016-05-13,507.0,South,rice,2016,5,19
2016-05-13,464.0,Littoral,rice,2016,5,19
2016-05-20,455.0,North West,rice,2016,5,20
2016-05-20,567.0,South West,rice,2016,5,20
2016-05-20,444.0,West,rice,2016,5,20
2016-05-20,509.0,Adamawa,rice,2016,5,20
2016-05-20,460.0,Far North,rice,2016,5,20
2016-05-20,485.0,Centre,rice,2016,5,20
2016-05-20,569.0,East,rice,2016,5,20
2016-05-20,465.0,North,rice,2016,5,20
2016-05-20,575.0,South,rice,2016,5,20
2016-05-20,471.0,Littoral,rice,2016,5,20
2016-05-27,530.0,North West,rice,2016,5,21
2016-05-27,505.0,South West,rice,2016,5,21
2016-05-27,549.0,West,rice,2016,5,21
2016-05-27,506.0,Adamawa,rice,2016,5,21
2016-05-27,503.0,Far North,rice,2016,5,21
2016-05-27,458.0,Centre,rice,2016,5,21
2016-05-27,454.0,East,rice,2016,5,21
2016-05-27,554.0,North,rice,2016,5,21
2016-05-27,476.0,South,rice,2016,5,21
2016-05-27,481.0,Littoral,rice,2016,5,21
2016-06-03,535.0,North West,rice,2016,6,22
2016-06-03,508.0,South West,rice,2016,6,22
2016-06-03,490.0,West,rice,2016,6,22
2016-06-03,526.0,Adamawa,rice,2016,6,22
2016-06-03,420.0,Far North,rice,2016,6,22
2016-06-03,447.0,Centre,rice,2016,6,22
2016-06-03,473.0,East,rice,2016,6,22
2016-06-03,443.0,North,rice,2016,6,22
2016-06-03,508.0,South,rice,2016,6,22
2016-06-03,531.0,Littoral,rice,2016,6,22
2016-06-10,480.0,North West,rice,2016,6,23
2016-06-10,469.0,South West,rice,2016,6,23
2016-06-10,550.0,West,rice,2016,6,23
2016-06-10,482.0,Adamawa,rice,2016,6,23
2016-06-10,488.0,Far North,rice,2016,6,23
2016-06-10,470.0,Centre,rice,2016,6,23
2016-06-10,543.0,East,rice,2016,6,23
2016-06-10,499.0,North,rice,2016,6,23
2016-06-10,524.0,South,rice,2016,6,23
2016-06-10,530.0,Littoral,rice,2016,6,23
2016-06-17,514.0,North West,rice,2016,6,24
2016-06-17,453.0,South West,rice,2016,6,24
2016-06-17,507.0,West,rice,2016,6,24
2016-06-17,526.0,Adamawa,rice,2016,6,24
2016-06-17,486.0,Far North,rice,2016,6,24
2016-06-17,501.0,Centre,rice,2016,6,24
2016-06-17,509.0,East,rice,2016,6,24
2016-06-17,514.0,North,rice,2016,6,24
2016-06-17,457.0,South,rice,2016,6,24
2016-06-17,414.0,Littoral,rice,2016,6,24
2016-06-24,430.0,North West,rice,2016,6,25
2016-06-24,462.0,South West,rice,2016,6,25
2016-06-24,436.0,West,rice,2016,6,25
2016-06-24,471.0,Adamawa,rice,2016,6,25
2016-06-24,425.0,Far North,rice,2016,6,25
2016-06-24,458.0,Centre,rice,2016,6,25
2016-06-24,405.0,East,rice,2016,6,25
2016-06-24,471.0,North,rice,2016,6,25
2016-06-24,447.0,South,rice,2016,6,25
2016-06-24,407.0,Littoral,rice,2016,6,25
2016-07-01,445.0,North West,rice,2016,7,26
2016-07-01,413.0,South West,rice,2016,7,26
2016-07-01,503.0,West,rice,2016,7,26
2016-07-01,473.0,Adamawa,rice,2016,7,26
2016-07-01,501.0,Far North,rice,2016,7,26
2016-07-01,438.0,Centre,rice,2016,7,26
2016-07-01,444.0,East,rice,2016,7,26
2016-07-01,494.0,North,rice,2016,7,26
2016-07-01,450.0,South,rice,2016,7,26
2016-07-01,472.0,Littoral,rice,2016,7,26
2016-07-08,399.0,North West,rice,2016,7,27
2016-07-08,422.0,South West,rice,2016,7,27
2016-07-08,385.0,West,rice,2016,7,27
2016-07-08,394.0,Adamawa,rice,2016,7,27
2016-07-08,371.0,Far North,rice,2016,7,27
2016-07-08,375.0,Centre,rice,2016,7,27
2016-07-08,482.0,East,rice,2016,7,27
2016-07-08,398.0,North,rice,2016,7,27
2016-07-08,446.0,South,rice,2016,7,27
2016-07-08,466.0,Littoral,rice,2016,7,27
2016-07-15,435.0,North West,rice,2016,7,28
2016-07-15,421.0,South West,rice,2016,7,28
2016-07-15,435.0,West,rice,2016,7,28
2016-07-15,439.0,Adamawa,rice,2016,7,28
2016-07-15,462.0,Far North,rice,2016,7,28
2016-07-15,418.0,Centre,rice,2016,7,28
2016-07-15,393.0,East,rice,2016,7,28
2016-07-15,426.0,North,rice,2016,7,28
2016-07-15,363.0,South,rice,2016,7,28
2016-07-15,453.0,Littoral,rice,2016,7,28
2016-07-22,372.0,North West,rice,2016,7,29
2016-07-22,395.0,South West,rice,2016,7,29
2016-07-22,449.0,West,rice,2016,7,29
2016-07-22,425.0,Adamawa,rice,2016,7,29
2016-07-22,403.0,Far North,rice,2016,7,29
2016-07-22,411.0,Centre,rice,2016,7,29
2016-07-22,453.0,East,rice,2016,7,29
2016-07-22,397.0,North,rice,2016,7,29
2016-07-22,455.0,South,rice,2016,7,29
2016-07-22,369.0,Littoral,rice,2016,7,29
2016-07-29,387.0,North West,rice,2016,7,30
2016-07-29,414.0,South West,rice,2016,7,30
2016-07-29,385.0,West,rice,2016,7,30
2016-07-29,445.0,Adamawa,rice,2016,7,30
2016-07-29,426.0,Far North,rice,2016,7,30
2016-07-29,437.0,Centre,rice,2016,7,30
2016-07-29,388.0,East,rice,2016,7,30
2016-07-29,390.0,North,rice,2016,7,30
2016-07-29,371.0,South,rice,2016,7,30
2016-07-29,402.0,Littoral,rice,2016,7,30
2016-08-05,422.0,North West,rice,2016,8,31
2016-08-05,455.0,South West,rice,2016,8,31
2016-08-05,434.0,West,rice,2016,8,31
2016-08-05,409.0,Adamawa,rice,2016,8,31
2016-08-05,466.0,Far North,rice,2016,8,31
2016-08-05,440.0,Centre,rice,2016,8,31
2016-08-05,463.0,East,rice,2016,8,31
2016-08-05,419.0,North,rice,2016,8,31
2016-08-05,389.0,South,rice,2016,8,31
2016-08-05,366.0,Littoral,rice,2016,8,31
2016-08-12,378.0,North West,rice,2016,8,32
