date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,214.0,North West,sorghum,2016,1,53
2016-01-01,224.0,South West,sorghum,2016,1,53
2016-01-01,238.0,West,sorghum,2016,1,53
2016-01-01,247.0,Adamawa,sorghum,2016,1,53
2016-01-01,223.0,Far North,sorghum,2016,1,53
2016-01-01,263.0,Centre,sorghum,2016,1,53
2016-01-01,251.0,East,sorghum,2016,1,53
2016-01-01,255.0,North,sorghum,2016,1,53
2016-01-01,224.0,South,sorghum,2016,1,53
2016-01-01,227.0,Littoral,sorghum,2016,1,53
2016-01-08,250.0,North West,sorghum,2016,1,1
2016-01-08,244.0,South West,sorghum,2016,1,1
2016-01-08,232.0,West,sorghum,2016,1,1
2016-01-08,280.0,Adamawa,sorghum,2016,1,1
2016-01-08,271.0,Far North,sorghum,2016,1,1
2016-01-08,230.0,Centre,sorghum,2016,1,1
2016-01-08,273.0,East,sorghum,2016,1,1
2016-01-08,253.0,North,sorghum,2016,1,1
2016-01-08,215.0,South,sorghum,2016,1,1
2016-01-08,237.0,Littoral,sorghum,2016,1,1
2016-01-15,249.0,North West,sorghum,2016,1,2
2016-01-15,233.0,South West,sorghum,2016,1,2
2016-01-15,250.0,West,sorghum,2016,1,2
2016-01-15,244.0,Adamawa,sorghum,2016,1,2
2016-01-15,251.0,Far North,sorghum,2016,1,2
2016-01-15,235.0,Centre,sorghum,2016,1,2
2016-01-15,265.0,East,sorghum,2016,1,2
2016-01-15,226.0,North,sorghum,2016,1,2
2016-01-15,250.0,South,sorghum,2016,1,2
2016-01-15,284.0,Littoral,sorghum,2016,1,2
2016-01-22,249.0,North West,sorghum,2016,1,3
2016-01-22,250.0,South West,sorghum,2016,1,3
2016-01-22,225.0,West,sorghum,2016,1,3
2016-01-22,262.0,Adamawa,sorghum,2016,1,3
2016-01-22,284.0,Far North,sorghum,2016,1,3
2016-01-22,240.0,Centre,sorghum,2016,1,3
2016-01-22,247.0,East,sorghum,2016,1,3
2016-01-22,260.0,North,sorghum,2016,1,3
2016-01-22,227.0,South,sorghum,2016,1,3
2016-01-22,285.0,Littoral,sorghum,2016,1,3
2016-01-29,244.0,North West,sorghum,2016,1,4
2016-01-29,246.0,South West,sorghum,2016,1,4
2016-01-29,244.0,West,sorghum,2016,1,4
2016-01-29,268.0,Adamawa,sorghum,2016,1,4
2016-01-29,244.0,Far North,sorghum,2016,1,4
2016-01-29,243.0,Centre,sorghum,2016,1,4
2016-01-29,243.0,East,sorghum,2016,1,4
2016-01-29,274.0,North,sorghum,2016,1,4
2016-01-29,242.0,South,sorghum,2016,1,4
2016-01-29,222.0,Littoral,sorghum,2016,1,4
2016-02-05,256.0,North West,sorghum,2016,2,5
2016-02-05,249.0,South West,sorghum,2016,2,5
2016-02-05,294.0,West,sorghum,2016,2,5
2016-02-05,263.0,Adamawa,sorghum,2016,2,5
2016-02-05,246.0,Far North,sorghum,2016,2,5
2016-02-05,299.0,Centre,sorghum,2016,2,5
2016-02-05,247.0,East,sorghum,2016,2,5
2016-02-05,284.0,North,sorghum,2016,2,5
2016-02-05,276.0,South,sorghum,2016,2,5
2016-02-05,262.0,Littoral,sorghum,2016,2,5
2016-02-12,279.0,North West,sorghum,2016,2,6
2016-02-12,271.0,South West,sorghum,2016,2,6
2016-02-12,270.0,West,sorghum,2016,2,6
2016-02-12,264.0,Adamawa,sorghum,2016,2,6
2016-02-12,274.0,Far North,sorghum,2016,2,6
2016-02-12,252.0,Centre,sorghum,2016,2,6
2016-02-12,248.0,East,sorghum,2016,2,6
2016-02-12,284.0,North,sorghum,2016,2,6
2016-02-12,277.0,South,sorghum,2016,2,6
2016-02-12,256.0,Littoral,sorghum,2016,2,6
2016-02-19,252.0,North West,sorghum,2016,2,7
2016-02-19,255.0,South West,sorghum,2016,2,7
