date,price_xaf_per_kg,region,crop,year,month,week
2016-01-01,358.0,North West,tomato,2016,1,53
2016-01-01,312.0,South West,tomato,2016,1,53
2016-01-01,359.0,West,tomato,2016,1,53
2016-01-01,307.0,Adamawa,tomato,2016,1,53
2016-01-01,304.0,Far North,tomato,2016,1,53
2016-01-01,351.0,Centre,tomato,2016,1,53
2016-01-01,302.0,East,tomato,2016,1,53
2016-01-01,311.0,North,tomato,2016,1,53
2016-01-01,281.0,South,tomato,2016,1,53
2016-01-01,355.0,Littoral,tomato,2016,1,53
2016-01-08,302.0,North West,tomato,2016,1,1
2016-01-08,364.0,South West,tomato,2016,1,1
2016-01-08,343.0,West,tomato,2016,1,1
2016-01-08,300.0,Adamawa,tomato,2016,1,1
2016-01-08,295.0,Far North,tomato,2016,1,1
2016-01-08,379.0,Centre,tomato,2016,1,1
2016-01-08,361.0,East,tomato,2016,1,1
2016-01-08,356.0,North,tomato,2016,1,1
2016-01-08,334.0,South,tomato,2016,1,1
2016-01-08,316.0,Littoral,tomato,2016,1,1
2016-01-15,402.0,North West,tomato,2016,1,2
2016-01-15,366.0,South West,tomato,2016,1,2
2016-01-15,429.0,West,tomato,2016,1,2
2016-01-15,336.0,Adamawa,tomato,2016,1,2
2016-01-15,337.0,Far North,tomato,2016,1,2
2016-01-15,422.0,Centre,tomato,2016,1,2
2016-01-15,394.0,East,tomato,2016,1,2
2016-01-15,362.0,North,tomato,2016,1,2
2016-01-15,406.0,South,tomato,2016,1,2
2016-01-15,375.0,Littoral,tomato,2016,1,2
2016-01-22,369.0,North West,tomato,2016,1,3
2016-01-22,440.0,South West,tomato,2016,1,3
2016-01-22,394.0,West,tomato,2016,1,3
2016-01-22,379.0,Adamawa,tomato,2016,1,3
2016-01-22,392.0,Far North,tomato,2016,1,3
2016-01-22,420.0,Centre,tomato,2016,1,3
2016-01-22,372.0,East,tomato,2016,1,3
2016-01-22,466.0,North,tomato,2016,1,3
2016-01-22,429.0,South,tomato,2016,1,3
2016-01-22,399.0,Littoral,tomato,2016,1,3
2016-01-29,452.0,North West,tomato,2016,1,4
2016-01-29,404.0,South West,tomato,2016,1,4
2016-01-29,393.0,West,tomato,2016,1,4
2016-01-29,480.0,Adamawa,tomato,2016,1,4
2016-01-29,407.0,Far North,tomato,2016,1,4
2016-01-29,382.0,Centre,tomato,2016,1,4
2016-01-29,455.0,East,tomato,2016,1,4
2016-01-29,398.0,North,tomato,2016,1,4
2016-01-29,496.0,South,tomato,2016,1,4
2016-01-29,481.0,Littoral,tomato,2016,1,4
2016-02-05,476.0,North West,tomato,2016,2,5
2016-02-05,504.0,South West,tomato,2016,2,5
2016-02-05,459.0,West,tomato,2016,2,5
2016-02-05,498.0,Adamawa,tomato,2016,2,5
2016-02-05,481.0,Far North,tomato,2016,2,5
2016-02-05,405.0,Centre,tomato,2016,2,5
2016-02-05,518.0,East,tomato,2016,2,5
2016-02-05,507.0,North,tomato,2016,2,5
2016-02-05,519.0,South,tomato,2016,2,5
2016-02-05,491.0,Littoral,tomato,2016,2,5
2016-02-12,390.0,North West,tomato,2016,2,6
2016-02-12,386.0,South West,tomato,2016,2,6
2016-02-12,394.0,West,tomato,2016,2,6
2016-02-12,432.0,Adamawa,tomato,2016,2,6
2016-02-12,447.0,Far North,tomato,2016,2,6
2016-02-12,405.0,Centre,tomato,2016,2,6
2016-02-12,431.0,East,tomato,2016,2,6
2016-02-12,408.0,North,tomato,2016,2,6
2016-02-12,448.0,South,tomato,2016,2,6
2016-02-12,481.0,Littoral,tomato,2016,2,6
2016-02-19,448.0,North West,tomato,2016,2,7
2016-02-19,376.0,South West,tomato,2016,2,7
2016-02-19,424.0,West,tomato,2016,2,7
2016-02-19,457.0,Adamawa,tomato,2016,2,7
2016-02-19,431.0,Far North,tomato,2016,2,7
2016-02-19,477.0,Centre,tomato,2016,2,7
