crop,region,land_size_ha,soil_ph,rainfall_mm,temperature_c,humidity_pct,elevation_m,irrigation,fertilizer_type,yield_tons_per_ha,total_yield_tons,year
groundnut,Centre,26.58,6.7,1743,24.804875064512668,74.2185644550446,714,0,inorganic,1.6,42.538,2018
palm_oil,Centre,22.58,5.8,1416,26.15366080445546,85.78580912929046,625,0,organic,4.709,106.318,2017
cassava,Littoral,19.92,5.2,2881,26.85266785885629,77.5597971660733,-50,0,mixed,15.464,308.038,2024
cocoa,South West,16.99,5.7,3643,23.261936151629904,81.81723473507253,303,0,none,0.6,10.192,2016
coffee,Adamawa,46.01,5.7,1009,20.156793228158786,68.00479895413,958,0,organic,0.326,14.98,2024
groundnut,South,23.96,6.1,1703,27.799932527928608,85.37689164447939,485,1,organic,2.121,50.813,2018
sorghum,Centre,11.23,5.1,1652,24.200843546606322,78.06807139752085,743,0,mixed,1.405,15.774,2016
sorghum,Adamawa,49.98,6.0,1343,21.454086384234078,50.651716723191846,892,0,mixed,1.07,53.478,2024
potato,East,31.47,6.9,1554,25.555566140041762,88.68264785727442,593,1,none,15.673,493.236,2016
cassava,Adamawa,32.73,5.7,1365,20.489901178843688,57.070490618891874,833,0,mixed,8.962,293.318,2017
onion,Adamawa,11.77,6.0,1345,21.14135621633079,69.96989753935567,903,0,organic,13.284,156.359,2023
potato,Littoral,7.8,7.3,2995,26.93769820262933,82.78955300655431,82,1,none,17.958,140.069,2020
groundnut,South West,36.44,5.5,3609,26.50277461275202,88.24504372367227,436,0,mixed,1.995,72.694,2022
sorghum,Adamawa,2.69,7.5,1260,20.497790935606265,67.9365100479152,989,0,none,0.672,1.808,2021
beans,South,29.72,5.6,1735,26.918723117232837,83.24784213749862,508,1,inorganic,1.375,40.873,2018
tomato,North West,42.99,5.9,1842,17.387684597522178,74.37801241509597,1543,1,inorganic,33.201,1427.33,2023
potato,West,27.22,5.9,1687,18.417350334867646,80.31479159887424,1168,0,organic,13.198,359.239,2016
plantain,Far North,25.65,5.0,322,33.41287083712281,40.948760995668465,331,0,inorganic,2.816,72.232,2016
